datetime,symbol,open,high,low,close,volume,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span
2018-01-10 01:00:00,BINANCE:ETHUSDT,1291.0,1440.0,1201.1,1247.0,160185.0129,1094.53,972.495,555.0575,511.165,697.92
2018-01-11 01:00:00,BINANCE:ETHUSDT,1249.03,1332.49,1021.0,1138.93,194546.29387,1125.0,972.495,558.805,511.165,779.25
2018-01-12 01:00:00,BINANCE:ETHUSDT,1136.45,1288.5,1069.01,1253.87,93763.47261,1165.005,972.495,564.3499999999999,511.165,754.0
2018-01-13 01:00:00,BINANCE:ETHUSDT,1253.87,1427.01,1252.0,1388.02,75893.43201,1175.0,972.495,592.745,536.8050000000001,781.66
2018-01-14 01:00:00,BINANCE:ETHUSDT,1388.1,1391.89,1220.89,1347.0,98391.19585,1175.0,972.495,633.0525,569.815,876.27
2018-01-15 01:00:00,BINANCE:ETHUSDT,1347.99,1383.13,1258.12,1271.0,69236.70476,1175.0,972.495,649.925,569.815,851.15
2018-01-16 01:00:00,BINANCE:ETHUSDT,1268.67,1275.01,780.0,1000.0,343889.36509,1110.0,972.495,661.185,569.815,808.99
2018-01-17 01:00:00,BINANCE:ETHUSDT,999.99,1075.51,755.0,1000.0,436333.67326,1097.5,1001.745,652.4499999999999,569.815,866.66
2018-01-18 01:00:00,BINANCE:ETHUSDT,1000.0,1075.2,924.21,994.0,294545.71207,1097.5,1001.745,652.4499999999999,569.815,841.57
2018-01-19 01:00:00,BINANCE:ETHUSDT,993.3,1079.0,941.0,1032.5,167954.11253,1091.005,1019.995,652.4499999999999,572.9549999999999,919.09
2018-01-20 01:00:00,BINANCE:ETHUSDT,1032.5,1165.4,1031.0,1152.75,123352.58362,1091.005,1037.91,652.4499999999999,572.9549999999999,924.55
2018-01-21 01:00:00,BINANCE:ETHUSDT,1150.37,1152.69,998.0,1049.0,175031.00789,1091.005,1037.91,652.4499999999999,572.9549999999999,938.67
2018-01-22 01:00:00,BINANCE:ETHUSDT,1049.0,1090.15,908.0,993.0,185212.52002,1073.4450000000002,1037.91,652.4499999999999,572.9549999999999,969.99
2018-01-23 01:00:00,BINANCE:ETHUSDT,993.0,1030.0,909.0,980.0,160159.63958,1069.065,1037.91,647.7225,572.9549999999999,911.0
2018-01-24 01:00:00,BINANCE:ETHUSDT,981.2,1074.0,953.09,1061.0,134257.7947,1015.005,1037.91,647.7225,572.9549999999999,938.11
2018-01-25 01:00:00,BINANCE:ETHUSDT,1060.34,1115.0,1030.26,1056.52,119415.93495,960.2,1056.43,635.2249999999999,572.9549999999999,882.99
2018-01-26 01:00:00,BINANCE:ETHUSDT,1055.29,1082.0,986.0,1051.03,145113.638,1036.7,1078.4,642.3625,572.9549999999999,835.89
2018-01-27 01:00:00,BINANCE:ETHUSDT,1051.03,1127.99,1032.2,1118.99,96894.33839,1036.7,1094.53,642.3625,572.9549999999999,801.49
2018-01-28 01:00:00,BINANCE:ETHUSDT,1118.99,1277.0,1112.0,1251.96,143510.73586,1092.5,1097.5,697.2475,590.255,851.6
2018-01-29 01:00:00,BINANCE:ETHUSDT,1251.96,1258.89,1161.65,1177.01,105292.76808,1092.5,1097.5,734.76,626.855,833.94
2018-01-30 01:00:00,BINANCE:ETHUSDT,1177.01,1186.85,1051.0,1085.5,155278.55404,1092.5,1097.5,764.615,661.33,841.19
2018-01-31 01:00:00,BINANCE:ETHUSDT,1084.63,1135.0,1029.0,1124.81,100372.03783,1093.0,1097.5,788.3050000000001,683.205,867.98
2018-02-01 01:00:00,BINANCE:ETHUSDT,1125.96,1164.99,981.0,1041.94,203355.29052,1115.045,1097.5,805.1775,683.205,870.11
2018-02-02 01:00:00,BINANCE:ETHUSDT,1041.89,1047.2,783.67,922.3,377375.22874,1030.335,1097.5,847.7025000000001,724.42,853.5
2018-02-03 01:00:00,BINANCE:ETHUSDT,923.67,998.0,851.0,971.0,160037.88129,1030.335,1097.5,914.0525,782.595,870.63
2018-02-04 01:00:00,BINANCE:ETHUSDT,971.0,975.0,789.0,823.56,186446.0316,1030.335,1097.5,968.6975,834.785,856.28
2018-02-05 01:00:00,BINANCE:ETHUSDT,821.6,862.47,634.94,697.92,365506.88295,955.97,1030.975,1033.5125,895.01,856.02
2018-02-06 01:00:00,BINANCE:ETHUSDT,697.93,798.0,570.1,779.25,648944.4204,914.4950000000001,998.5550000000001,1048.7475,895.01,866.66
2018-02-07 01:00:00,BINANCE:ETHUSDT,779.99,849.0,714.18,754.0,356403.4441,878.4749999999999,998.5550000000001,1068.75,899.5,849.84
2018-02-08 01:00:00,BINANCE:ETHUSDT,753.19,786.93,751.0,781.66,10516.2619,867.5450000000001,980.9950000000001,1073.7475,905.01,813.11
2018-02-09 01:00:00,BINANCE:ETHUSDT,781.66,882.2,781.66,876.27,95465.0979,867.5450000000001,976.615,1073.7475,907.505,749.9
2018-02-10 01:00:00,BINANCE:ETHUSDT,876.28,911.2,800.0,851.15,214800.64267,808.6500000000001,923.55,1073.7475,907.505,695.46
2018-02-11 01:00:00,BINANCE:ETHUSDT,851.15,857.0,768.28,808.99,189323.408,784.05,923.55,1041.2475,907.505,723.71
2018-02-12 01:00:00,BINANCE:ETHUSDT,808.58,877.56,807.46,866.66,143586.93121,772.55,923.55,1049.6225,907.505,680.58
2018-02-13 01:00:00,BINANCE:ETHUSDT,866.39,871.0,820.0,841.57,110305.93537,740.6500000000001,923.55,1049.6225,907.505,720.85
2018-02-14 01:00:00,BINANCE:ETHUSDT,841.57,924.99,841.3,919.09,150342.85558,747.5450000000001,923.55,1055.5,907.505,697.11
2018-02-15 01:00:00,BINANCE:ETHUSDT,919.09,946.66,895.59,924.55,155637.78524,830.42,923.55,1064.4575,907.505,689.94
2018-02-16 01:00:00,BINANCE:ETHUSDT,924.55,948.48,901.36,938.67,115540.16349,849.74,923.55,1064.4575,907.505,610.1
2018-02-17 01:00:00,BINANCE:ETHUSDT,938.6,974.0,933.48,969.99,110091.03618,871.14,923.55,1055.6775000000002,907.505,608.83
2018-02-18 01:00:00,BINANCE:ETHUSDT,969.99,978.5,897.0,911.0,160129.79518,873.39,923.55,1053.4875000000002,907.505,599.05
2018-02-19 01:00:00,BINANCE:ETHUSDT,911.0,956.22,906.04,938.11,80099.49534,873.39,923.55,1026.4575,907.505,546.95
2018-02-20 01:00:00,BINANCE:ETHUSDT,939.17,961.0,873.0,882.99,120056.67502,892.98,923.55,1008.315,907.505,537.0
2018-02-21 01:00:00,BINANCE:ETHUSDT,882.99,908.88,812.87,835.89,176200.55151,895.685,923.55,1057.5500000000002,907.505,556.88
2018-02-22 01:00:00,BINANCE:ETHUSDT,836.35,871.96,786.6,801.49,137561.85113,882.55,923.55,1065.615,907.505,557.0
2018-02-23 01:00:00,BINANCE:ETHUSDT,801.47,885.0,785.99,851.6,154507.41338,882.245,914.4950000000001,1095.0,915.0,559.17
2018-02-24 01:00:00,BINANCE:ETHUSDT,851.59,875.0,805.0,833.94,89311.5794,882.245,878.4749999999999,1095.0,921.6,539.92
2018-02-25 01:00:00,BINANCE:ETHUSDT,833.92,849.5,813.18,841.19,59431.26474,882.245,867.5450000000001,1095.0,921.6,543.03
2018-02-26 01:00:00,BINANCE:ETHUSDT,841.46,882.0,833.0,867.98,74911.4656,882.245,867.5450000000001,1095.25,933.7,520.22
2018-02-27 01:00:00,BINANCE:ETHUSDT,867.98,897.49,860.69,870.11,63487.68425,873.495,808.6500000000001,1106.2725,967.4449999999999,523.74
2018-02-28 01:00:00,BINANCE:ETHUSDT,871.84,891.0,850.3,853.5,53620.45209,873.495,784.05,1063.9175,972.495,485.0
2018-03-01 01:00:00,BINANCE:ETHUSDT,853.5,879.96,848.65,870.63,43785.00503,847.435,774.3,1063.9175,972.495,448.5
2018-03-02 01:00:00,BINANCE:ETHUSDT,870.63,876.22,850.0,856.28,39436.26006,841.74,774.3,1063.9175,972.495,446.67
2018-03-03 01:00:00,BINANCE:ETHUSDT,856.27,870.78,852.3,856.02,34170.2942,841.74,774.3,993.4725,972.495,384.0
2018-03-04 01:00:00,BINANCE:ETHUSDT,856.51,868.0,836.24,866.66,29439.58002,851.245,846.3399999999999,956.5250000000001,972.495,392.43
2018-03-05 01:00:00,BINANCE:ETHUSDT,866.61,871.75,847.2,849.84,30567.79813,855.335,864.75,938.515,972.495,393.92
2018-03-06 01:00:00,BINANCE:ETHUSDT,849.81,853.18,803.01,813.11,48658.06883,850.25,873.39,924.2700000000001,972.495,378.58
2018-03-07 01:00:00,BINANCE:ETHUSDT,813.31,826.2,718.4,749.9,109013.2838,807.9449999999999,848.45,922.08,972.495,385.05
2018-03-08 01:00:00,BINANCE:ETHUSDT,749.02,772.07,684.0,695.46,76312.77819,787.5,831.25,866.1,972.495,415.01
2018-03-09 01:00:00,BINANCE:ETHUSDT,695.48,727.92,640.0,723.71,116545.37303,759.98,809.25,853.8,972.495,378.16
2018-03-10 01:00:00,BINANCE:ETHUSDT,723.65,745.0,673.06,680.58,63012.67972,758.11,809.25,848.05,1001.745,381.22
2018-03-11 01:00:00,BINANCE:ETHUSDT,680.58,735.0,659.15,720.85,73967.35869,755.875,809.25,832.1,1001.745,368.89
2018-03-12 01:00:00,BINANCE:ETHUSDT,721.0,740.5,676.31,697.11,67732.85988,755.875,809.25,835.5475,1005.05,384.51
2018-03-13 01:00:00,BINANCE:ETHUSDT,696.52,713.76,680.0,689.94,55735.18315,755.875,809.25,876.9849999999999,1005.05,400.4
2018-03-14 01:00:00,BINANCE:ETHUSDT,690.16,703.54,585.0,610.1,89904.25415,719.0899999999999,781.75,886.645,1005.05,399.44
2018-03-15 01:00:00,BINANCE:ETHUSDT,610.1,621.12,570.0,608.83,94426.72453,698.1,774.25,897.345,1005.05,416.07
