datetime,symbol,open,high,low,close,volume,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,fundingRate
2024-01-27 01:00:00,BINANCE:BTCUSDT,41823.51,42200.0,41394.34,42120.63,16224.41667,40400.91,43762.240000000005,42601.525,39750.0,51288.42,0.0
2024-01-28 01:00:00,BINANCE:BTCUSDT,42120.63,42842.68,41620.81,42031.06,27294.99838,40698.84,43762.240000000005,43320.315,40339.815,50744.15,0.0
2024-01-29 01:00:00,BINANCE:BTCUSDT,42031.05,43333.0,41804.88,43302.7,31542.74207,40944.0,43762.240000000005,43182.815,40339.815,51568.22,0.0
2024-01-30 01:00:00,BINANCE:BTCUSDT,43302.71,43882.36,42683.99,42941.1,37619.24546,41218.68,43762.240000000005,43182.815,40339.815,51728.85,0.0
2024-01-31 01:00:00,BINANCE:BTCUSDT,42941.1,43745.11,42276.84,42580.0,39871.13688,41218.68,43762.240000000005,43182.815,40619.815,54476.47,0.0
2024-02-01 01:00:00,BINANCE:BTCUSDT,42580.0,43285.13,41884.28,43082.94,35231.04664,41683.275,43762.240000000005,43263.0475,40689.815,57037.34,0.0
2024-02-02 01:00:00,BINANCE:BTCUSDT,43082.95,43488.0,42546.79,43200.0,29672.14418,41716.18,43762.240000000005,43263.0475,40755.82,62432.1,0.0
2024-02-03 01:00:00,BINANCE:BTCUSDT,43199.99,43380.01,42880.0,43011.09,12033.40998,41852.44,43762.240000000005,43947.72749999999,41440.5,61130.98,0.0
2024-02-04 01:00:00,BINANCE:BTCUSDT,43011.1,43119.04,42222.0,42582.88,17066.89404,42638.35,43762.240000000005,44309.2325,41802.005000000005,62387.9,0.0
2024-02-05 01:00:00,BINANCE:BTCUSDT,42582.88,43569.76,42258.1,42708.7,29467.75905,42751.585,43762.240000000005,44309.2325,41802.005000000005,61987.28,0.0
2024-02-06 01:00:00,BINANCE:BTCUSDT,42708.7,43399.98,42574.0,43098.95,24675.85433,42843.619999999995,42535.265,44807.9725,42300.745,63113.97,0.0
2024-02-07 01:00:00,BINANCE:BTCUSDT,43098.96,44396.5,42788.0,44349.6,34392.59915,43140.39,41475.75,44995.4725,42300.745,68245.71,0.0
2024-02-08 01:00:00,BINANCE:BTCUSDT,44349.6,45614.3,44331.1,45288.65,45439.62231,43749.29,42084.65,45047.240000000005,42838.240000000005,63724.01,0.0
2024-02-09 01:00:00,BINANCE:BTCUSDT,45288.66,48200.0,45242.12,47132.77,73503.481,45042.14,43377.5,45047.240000000005,42838.240000000005,66074.04,0.0
2024-02-10 01:00:00,BINANCE:BTCUSDT,47132.78,48170.0,46800.0,47751.09,24802.35936,45211.0,43377.5,45047.240000000005,42838.240000000005,66823.17,0.0
2024-02-11 01:00:00,BINANCE:BTCUSDT,47751.08,48592.66,47557.16,48299.99,29958.80837,45407.33,43573.83,45047.240000000005,42838.240000000005,68124.19,0.0
2024-02-12 01:00:00,BINANCE:BTCUSDT,48300.0,50334.82,47710.01,49917.27,59009.96705,46278.41,44444.91,45047.240000000005,42838.240000000005,68313.27,0.0
2024-02-13 01:00:00,BINANCE:BTCUSDT,49917.28,50368.61,48300.95,49699.59,55551.56706,46313.354999999996,44461.805,44826.380000000005,42918.94500000001,68955.88,0.0
2024-02-14 01:00:00,BINANCE:BTCUSDT,49699.6,52043.71,49225.01,51795.17,57046.37401,47308.854999999996,45299.354999999996,44624.740000000005,43234.740000000005,72078.1,0.0
2024-02-15 01:00:00,BINANCE:BTCUSDT,51795.17,52816.62,51314.0,51880.0,53816.03055,47802.31,45685.81,44011.2525,43234.740000000005,71452.01,0.0
2024-02-16 01:00:00,BINANCE:BTCUSDT,51880.01,52572.08,51566.0,52124.11,37772.25318,48573.86,45685.81,43276.872500000005,43292.67,73072.41,0.0
2024-02-17 01:00:00,BINANCE:BTCUSDT,52124.1,52162.82,50625.0,51642.64,25674.00622,49029.37,45685.81,42852.6625,43805.545,71388.94,0.0
2024-02-18 01:00:00,BINANCE:BTCUSDT,51642.64,52377.0,51163.28,52137.67,21992.10363,49808.31,46150.405,42414.372500000005,43762.240000000005,69499.85,0.0
2024-02-19 01:00:00,BINANCE:BTCUSDT,52137.68,52488.77,51677.0,51774.73,29534.99432,50186.89,46183.31,42414.372500000005,43762.240000000005,65300.63,0.0
2024-02-20 01:00:00,BINANCE:BTCUSDT,51774.74,52985.0,50760.37,52258.82,49614.47318,50347.505000000005,46403.759999999995,42319.37,43762.240000000005,68393.48,0.0
2024-02-21 01:00:00,BINANCE:BTCUSDT,52258.82,52366.8,50625.0,51849.39,43079.40049,50642.975,47189.67,42252.37,43762.240000000005,67609.99,0.0
2024-02-22 01:00:00,BINANCE:BTCUSDT,51849.38,52065.78,50940.78,51288.42,35309.44574,51105.005000000005,47302.905,42081.575000000004,43762.240000000005,61937.4,0.0
2024-02-23 01:00:00,BINANCE:BTCUSDT,51288.42,51548.54,50521.0,50744.15,30545.79544,51753.0,47394.94,42230.54,43762.240000000005,67840.51,0.0
2024-02-24 01:00:00,BINANCE:BTCUSDT,50744.15,51698.0,50585.0,51568.22,16560.4211,51753.0,47434.64,42353.12,43762.240000000005,65501.27,0.0
2024-02-25 01:00:00,BINANCE:BTCUSDT,51568.21,51958.55,51279.8,51728.85,18721.63159,51753.0,47434.64,42490.46000000001,43762.240000000005,63796.64,0.0
2024-02-26 01:00:00,BINANCE:BTCUSDT,51728.85,54910.0,50901.44,54476.47,51256.72199,52715.5,48397.14,42490.46000000001,43762.240000000005,63990.01,0.0
2024-02-27 01:00:00,BINANCE:BTCUSDT,54476.48,57588.15,54450.13,57037.34,67194.98562,54054.575,49905.075,42722.75750000001,43762.240000000005,67209.99,0.0
2024-02-28 01:00:00,BINANCE:BTCUSDT,57037.35,64000.0,56691.85,62432.1,118763.46984,57260.5,53111.0,42739.21000000001,43762.240000000005,69880.01,0.0
2024-02-29 01:00:00,BINANCE:BTCUSDT,62432.11,63676.35,60364.7,61130.98,78425.07603,57260.5,53111.0,42807.340000000004,43762.240000000005,69988.0,0.0
2024-03-01 01:00:00,BINANCE:BTCUSDT,61130.99,63114.23,60777.0,62387.9,47737.93473,57260.5,53129.05,43200.295,43762.240000000005,69469.99,0.0
2024-03-02 01:00:00,BINANCE:BTCUSDT,62387.9,62433.19,61561.12,61987.28,25534.73659,57260.5,53287.0,43256.912500000006,43762.240000000005,70780.6,0.0
2024-03-03 01:00:00,BINANCE:BTCUSDT,61987.28,63231.88,61320.0,63113.97,28994.90903,57292.5,53394.0,42689.4425,43762.240000000005,69850.54,0.0
2024-03-04 01:00:00,BINANCE:BTCUSDT,63113.97,68499.0,62300.0,68245.71,84835.16005,59700.22,56415.05,42308.07,43762.240000000005,69582.18,0.0
2024-03-05 01:00:00,BINANCE:BTCUSDT,68245.71,69000.0,59005.0,63724.01,132696.7813,59950.72,57121.06,42916.97,43762.240000000005,71280.01,0.0
2024-03-06 01:00:00,BINANCE:BTCUSDT,63724.01,67641.1,62779.14,66074.04,78738.85491,61725.065,57900.0,44209.82,43762.240000000005,69649.8,0.0
2024-03-07 01:00:00,BINANCE:BTCUSDT,66074.04,67980.0,65551.0,66823.17,53059.8869,62845.925,58278.58,44294.25,43762.240000000005,65463.99,0.0
2024-03-08 01:00:00,BINANCE:BTCUSDT,66823.18,69990.0,66082.66,68124.19,74261.932842,64497.5,58850.005000000005,44490.58,43762.240000000005,65963.28,0.0
2024-03-09 01:00:00,BINANCE:BTCUSDT,68124.2,68541.1,67861.1,68313.27,19872.89743,64497.5,59145.475,45361.66,44444.91,68487.79,0.0
2024-03-10 01:00:00,BINANCE:BTCUSDT,68313.28,69887.61,68094.75,68955.88,38404.66835,64497.5,59607.505000000005,45387.58,44461.805,67820.62,0.0
